System,Domain,Integrates With,Integration Type,Criticality
APP-13,Sales,APP-13>APP-8,Batch,Medium
APP-13,Data,APP-8>APP-14,Webhook,High
APP-13,HR,APP-10>APP-7,Manual,High
APP-15,Security,APP-9>APP-2,Manual,Low
APP-10,Sales,APP-19>APP-15,Webhook,Medium
APP-2,Security,APP-5>APP-9,Batch,Medium
APP-19,Sales,APP-2>APP-20,Manual,Medium
APP-12,Sales,APP-5>APP-14,Webhook,High
APP-4,Finance,APP-4>APP-15,Webhook,Low
APP-13,Sales,APP-8>APP-3,Manual,Low
APP-8,HR,APP-11>APP-5,Batch,Low
APP-16,HR,APP-10>APP-15,Manual,Low
APP-3,Finance,APP-2>APP-15,Manual,High
APP-17,Data,APP-11>APP-15,Manual,Medium
APP-7,IT,APP-2>APP-13,API,High
APP-13,Operations,APP-13>APP-14,Webhook,Medium
APP-11,Operations,APP-1>APP-16,Webhook,High
APP-15,Data,APP-6>APP-18,Webhook,Low
APP-6,Operations,APP-20>APP-4,Webhook,Low
APP-11,IT,APP-18>APP-7,Webhook,Medium
APP-10,Sales,APP-18>APP-13,Manual,Medium
APP-11,Sales,APP-3>APP-17,Batch,Low
APP-8,HR,APP-16>APP-3,Batch,Low
APP-17,Operations,APP-17>APP-19,API,Low
APP-18,HR,APP-8>APP-7,Manual,Low
APP-2,Sales,APP-9>APP-15,Webhook,Medium
APP-7,HR,APP-19>APP-16,Webhook,High
APP-8,Security,APP-20>APP-15,Manual,High
APP-9,Sales,APP-16>APP-3,Manual,Low
APP-14,HR,APP-7>APP-20,Manual,Low
